date,open,high,low,close,volume,dividend,split
2019-01-02,39400,39400,38550,38750,7847664,0,1
2019-01-03,38300,38550,37450,37600,12471493,0,1
2019-01-04,37450,37600,36850,37450,14108958,0,1
2019-01-07,38000,38900,37800,38750,12748997,0,1
2019-01-08,38000,39200,37950,38100,12756554,0,1
2019-01-09,38650,39600,38300,39600,17452708,0,1
2019-01-10,40000,40150,39600,39800,14731699,0,1
2019-01-11,40350,40550,39950,40500,11661063,0,1
2019-01-14,40450,40700,39850,40050,11984996,0,1
2019-01-15,40050,41100,39850,41100,11492756,0,1
2019-01-16,41150,41450,40700,41450,8491595,0,1
2019-01-17,41700,42100,41450,41950,11736903,0,1
2019-01-18,42000,42400,41950,42300,11029256,0,1
2019-01-21,42700,42750,41900,42750,11355701,0,1
2019-01-22,42750,42850,41850,42150,9964356,0,1
2019-01-23,41350,42250,41350,42000,11071079,0,1
2019-01-24,43050,43100,42350,43050,14747623,0,1
2019-01-25,44300,44750,43750,44750,22789395,0,1
2019-01-28,45000,45500,44600,45050,17998914,0,1
2019-01-29,45050,45500,44350,45500,16215017,0,1
2019-01-30,44800,46400,44800,46400,17505980,0,1
2019-01-31,46650,47050,46150,46150,21621145,0,1
2019-02-01,46650,46950,46250,46350,13832454,0,1
2019-02-07,46800,47100,46200,46200,15872001,0,1
2019-02-08,45700,45700,44650,44800,12689196,0,1
2019-02-11,44500,45000,44250,45000,11125044,0,1
2019-02-12,44650,46250,44650,46050,13184367,0,1
2019-02-13,46400,46700,46000,46200,11299738,0,1
2019-02-14,46600,47500,46150,47500,17259341,0,1
2019-02-15,46750,46850,45650,46050,10554643,0,1
2019-02-18,46500,46850,45850,46200,8183728,0,1
2019-02-19,45850,46150,45450,45950,6741395,0,1
2019-02-20,46750,47100,46500,46900,11506720,0,1
2019-02-21,46500,47200,46200,46950,8694009,0,1
2019-02-22,46500,47150,46450,47150,6895772,0,1
2019-02-25,47400,47550,47050,47350,7484716,0,1
2019-02-26,47350,47450,46500,46750,7985547,0,1
2019-02-27,47000,47250,46750,46750,8045211,0,1
2019-02-28,46400,46500,45100,45100,23569321,0,1
2019-03-04,46000,46100,44800,44850,12926539,0,1
2019-03-05,44600,45100,44150,44250,10612405,0,1
2019-03-06,44000,44300,43700,44000,10202544,0,1
